date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:16:27	8805/8805	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Jan%202023%2008:16:00%20GMT	https://gencapitals.com/storage/portfolio/a93eoDE2hYQ4NeqPUub9iV8Jj5xjETDhvoR0OR9l.png	/home/joestack/websites/gencapital%20clone/gencapitals.com/storage/portfolio/a93eoDE2hYQ4NeqPUub9iV8Jj5xjETDhvoR0OR9l.png	(from https://gencapitals.com/portfolio)
11:16:28	21906/21906	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Jan%202023%2003:11:57%20GMT	https://gencapitals.com/storage/portfolio/ub6gyaNIGASr3a7R1Vtm00XR9MDqccaQDLxBFf1o.png	/home/joestack/websites/gencapital%20clone/gencapitals.com/storage/portfolio/ub6gyaNIGASr3a7R1Vtm00XR9MDqccaQDLxBFf1o.png	(from https://gencapitals.com/portfolio)
11:16:29	0/-1	---M--	302	error ('')			https://gencapitals.com/office/dashboard	/home/joestack/websites/gencapital%20clone/gencapitals.com/office/dashboard.88.delayed	(from https://gencapitals.com/thesis)
11:16:29	0/-1	---M--	302	error ('')			https://gencapitals.com/office/dashboard	/home/joestack/websites/gencapital%20clone/gencapitals.com/office/dashboard.89.delayed	(from https://gencapitals.com/thesis)
11:16:29	71079/71079	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Jan%202023%2014:27:55%20GMT	https://gencapitals.com/assets2/images/service/readmore1.jpg	/home/joestack/websites/gencapital%20clone/gencapitals.com/assets2/images/service/readmore1.jpg	(from https://gencapitals.com/thesis)
11:16:31	46164/46164	---MC-	200	added ('OK')	text/html	date:Sat,%2003%20Jun%202023%2010:16:30%20GMT	https://gencapitals.com/thesis/gencapitals-investment-thesis	/home/joestack/websites/gencapital%20clone/gencapitals.com/thesis/gencapitals-investment-thesis.html	(from https://gencapitals.com/thesis)
11:16:32	37871/37871	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Jan%202023%2015:01:07%20GMT	https://gencapitals.com/assets2/images/service/readmore3.jpg	/home/joestack/websites/gencapital%20clone/gencapitals.com/assets2/images/service/readmore3.jpg	(from https://gencapitals.com/thesis)
11:16:32	69607/69607	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Jan%202023%2015:00:52%20GMT	https://gencapitals.com/assets2/images/service/readmore2.jpg	/home/joestack/websites/gencapital%20clone/gencapitals.com/assets2/images/service/readmore2.jpg	(from https://gencapitals.com/thesis)
11:16:33	0/-1	---M--	302	error ('')			https://gencapitals.com/office/dashboard	/home/joestack/websites/gencapital%20clone/gencapitals.com/office/dashboard.8e.delayed	(from https://gencapitals.com/nfp)
11:16:33	0/-1	---M--	302	error ('')			https://gencapitals.com/office/dashboard	/home/joestack/websites/gencapital%20clone/gencapitals.com/office/dashboard.8f.delayed	(from https://gencapitals.com/nfp)
11:16:34	0/-1	---M--	302	error ('')			https://gencapitals.com/office/dashboard	/home/joestack/websites/gencapital%20clone/gencapitals.com/office/dashboard.91.delayed	(from https://gencapitals.com/ieo)
11:16:34	0/-1	---M--	302	error ('')			https://gencapitals.com/office/dashboard	/home/joestack/websites/gencapital%20clone/gencapitals.com/office/dashboard.92.delayed	(from https://gencapitals.com/ieo)
11:16:34	119211/119211	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Jan%202023%2008:57:39%20GMT	https://gencapitals.com/assets2/images/nfp.jpeg	/home/joestack/websites/gencapital%20clone/gencapitals.com/assets2/images/nfp.jpg	(from https://gencapitals.com/nfp)
11:16:35	0/-1	---M--	302	error ('')			https://gencapitals.com/office/dashboard	/home/joestack/websites/gencapital%20clone/gencapitals.com/office/dashboard.94.delayed	(from https://gencapitals.com/erc-20-portfolio)
11:16:35	0/-1	---M--	302	error ('')			https://gencapitals.com/office/dashboard	/home/joestack/websites/gencapital%20clone/gencapitals.com/office/dashboard.95.delayed	(from https://gencapitals.com/erc-20-portfolio)
11:16:35	63424/63424	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Jan%202023%2008:57:38%20GMT	https://gencapitals.com/assets2/images/ieo.jpg	/home/joestack/websites/gencapital%20clone/gencapitals.com/assets2/images/ieo.jpg	(from https://gencapitals.com/ieo)
11:16:36	0/-1	---M--	302	error ('')			https://gencapitals.com/office/dashboard	/home/joestack/websites/gencapital%20clone/gencapitals.com/office/dashboard.97.delayed	(from https://gencapitals.com/forex)
11:16:36	0/-1	---M--	302	error ('')			https://gencapitals.com/office/dashboard	/home/joestack/websites/gencapital%20clone/gencapitals.com/office/dashboard.98.delayed	(from https://gencapitals.com/forex)
11:16:36	103122/103122	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Jan%202023%2008:57:38%20GMT	https://gencapitals.com/assets2/images/erc.png	/home/joestack/websites/gencapital%20clone/gencapitals.com/assets2/images/erc.png	(from https://gencapitals.com/erc-20-portfolio)
11:16:37	56948/56948	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Mar%202023%2013:30:24%20GMT	https://gencapitals.com/assets2/images/escrow/1.png	/home/joestack/websites/gencapital%20clone/gencapitals.com/assets2/images/escrow/1.png	(from https://gencapitals.com/forex)
11:16:37	19213/19213	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Mar%202023%2013:30:26%20GMT	https://gencapitals.com/assets2/images/escrow/2.png	/home/joestack/websites/gencapital%20clone/gencapitals.com/assets2/images/escrow/2.png	(from https://gencapitals.com/forex)
11:16:38	23220/23220	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Mar%202023%2013:30:28%20GMT	https://gencapitals.com/assets2/images/escrow/3.png	/home/joestack/websites/gencapital%20clone/gencapitals.com/assets2/images/escrow/3.png	(from https://gencapitals.com/forex)
11:16:40	42985/42985	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Mar%202023%2013:30:30%20GMT	https://gencapitals.com/assets2/images/escrow/4.png	/home/joestack/websites/gencapital%20clone/gencapitals.com/assets2/images/escrow/4.png	(from https://gencapitals.com/forex)
11:16:40	17906/17906	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Mar%202023%2013:30:32%20GMT	https://gencapitals.com/assets2/images/escrow/5.png	/home/joestack/websites/gencapital%20clone/gencapitals.com/assets2/images/escrow/5.png	(from https://gencapitals.com/forex)
11:16:42	19793/19793	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Mar%202023%2013:30:34%20GMT	https://gencapitals.com/assets2/images/escrow/6.png	/home/joestack/websites/gencapital%20clone/gencapitals.com/assets2/images/escrow/6.png	(from https://gencapitals.com/forex)
11:16:42	18574/18574	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Mar%202023%2013:30:36%20GMT	https://gencapitals.com/assets2/images/escrow/7.png	/home/joestack/websites/gencapital%20clone/gencapitals.com/assets2/images/escrow/7.png	(from https://gencapitals.com/forex)
11:16:43	0/-1	---M--	302	error ('')			https://gencapitals.com/office/dashboard	/home/joestack/websites/gencapital%20clone/gencapitals.com/office/dashboard.a0.delayed	(from https://gencapitals.com/escrow)
11:16:43	0/-1	---M--	302	error ('')			https://gencapitals.com/office/dashboard	/home/joestack/websites/gencapital%20clone/gencapitals.com/office/dashboard.a1.delayed	(from https://gencapitals.com/escrow)
11:16:43	0/-1	---M--	302	error ('')			https://gencapitals.com/office/dashboard	/home/joestack/websites/gencapital%20clone/gencapitals.com/office/dashboard.a2.delayed	(from https://gencapitals.com/investment-plans)
11:16:43	0/-1	---M--	302	error ('')			https://gencapitals.com/office/dashboard	/home/joestack/websites/gencapital%20clone/gencapitals.com/office/dashboard.a3.delayed	(from https://gencapitals.com/investment-plans)
11:16:43	0/-1	---M--	302	error ('')			https://gencapitals.com/office/dashboard	/home/joestack/websites/gencapital%20clone/gencapitals.com/office/dashboard.a4.delayed	(from https://gencapitals.com/investment-plans)
11:16:43	0/-1	---M--	302	error ('')			https://gencapitals.com/office/dashboard	/home/joestack/websites/gencapital%20clone/gencapitals.com/office/dashboard.a5.delayed	(from https://gencapitals.com/investment-plans)
11:16:43	0/-1	---M--	302	error ('')			https://gencapitals.com/office/dashboard	/home/joestack/websites/gencapital%20clone/gencapitals.com/office/dashboard.a6.delayed	(from https://gencapitals.com/investment-plans)
11:16:43	0/-1	---M--	302	error ('')			https://gencapitals.com/office/dashboard	/home/joestack/websites/gencapital%20clone/gencapitals.com/office/dashboard.a7.delayed	(from https://gencapitals.com/investment-plans)
11:16:43	0/-1	---M--	302	error ('')			https://gencapitals.com/office/dashboard	/home/joestack/websites/gencapital%20clone/gencapitals.com/office/dashboard.a8.delayed	(from https://gencapitals.com/investment-plans)
11:16:43	0/-1	---M--	302	error ('')			https://gencapitals.com/office/dashboard	/home/joestack/websites/gencapital%20clone/gencapitals.com/office/dashboard.a9.delayed	(from https://gencapitals.com/affiliate-marketing)
